L,p,decoder,weight,n_runs,n_fails,p_log
22,0.1431818181818182,unified,1.8,124500,12815.0,0.10293172690763053
22,0.1431818181818182,unified,2.1,60000,7215.0,0.12025
22,0.144090909090909,unified,1.8,124500,13260.0,0.10650602409638554
22,0.144090909090909,unified,2.1,60000,7437.0,0.12395
22,0.145,unified,1.1,60000,6441.0,0.10735
22,0.145,unified,1.8,124500,13666.0,0.10976706827309236
22,0.145,unified,2.1,97000,12301.0,0.12681443298969072
22,0.145625,unified,1.1,60000,6658.0,0.11096666666666667
22,0.145625,unified,1.8,56500,6289.0,0.11130973451327433
22,0.145625,unified,2.1,37000,4862.0,0.1314054054054054
22,0.14625,unified,1.1,60000,6750.0,0.1125
22,0.14625,unified,1.8,56500,6494.0,0.11493805309734513
22,0.14625,unified,2.1,37000,4888.0,0.1321081081081081
22,0.1468749999999999,unified,1.1,60000,6966.0,0.1161
22,0.1468749999999999,unified,2.1,37000,4899.0,0.1324054054054054
22,0.146875,unified,1.8,56500,6555.0,0.11601769911504425
22,0.1475,unified,1.1,60000,6926.0,0.11543333333333333
22,0.1475,unified,1.8,56500,6635.0,0.11743362831858407
22,0.1475,unified,2.1,37000,4986.0,0.13475675675675675
22,0.148125,unified,1.1,60000,7140.0,0.119
22,0.148125,unified,1.8,56500,6754.0,0.11953982300884956
22,0.148125,unified,2.1,37000,5097.0,0.13775675675675675
22,0.14875,unified,1.1,60000,7251.0,0.12085
22,0.14875,unified,1.8,56500,6904.0,0.12219469026548672
22,0.14875,unified,2.1,37000,5056.0,0.13664864864864865
22,0.1493749999999999,unified,1.1,60000,7270.0,0.12116666666666667
22,0.1493749999999999,unified,2.1,37000,5324.0,0.1438918918918919
22,0.149375,unified,1.8,56500,7028.0,0.12438938053097345
22,0.15,unified,1.1,60000,7556.0,0.12593333333333334
22,0.15,unified,1.8,56500,7125.0,0.1261061946902655
22,0.15,unified,2.1,37000,5413.0,0.1462972972972973
22,0.150625,unified,1.1,60000,7480.0,0.12466666666666666
22,0.150625,unified,1.8,56500,7200.0,0.12743362831858407
22,0.150625,unified,2.1,37000,5454.0,0.1474054054054054
22,0.15125,unified,1.1,60000,7540.0,0.12566666666666668
22,0.15125,unified,1.8,56500,7410.0,0.1311504424778761
22,0.15125,unified,2.1,37000,5503.0,0.14872972972972973
22,0.1518749999999999,unified,1.1,60000,7826.0,0.13043333333333335
22,0.1518749999999999,unified,2.1,37000,5696.0,0.15394594594594593
22,0.151875,unified,1.8,56500,7472.0,0.13224778761061948
22,0.1525,unified,1.1,60000,8013.0,0.13355
22,0.1525,unified,2.1,37000,5677.0,0.15343243243243243
22,0.153125,unified,1.1,60000,8091.0,0.13485
22,0.153125,unified,2.1,37000,5884.0,0.15902702702702703
22,0.15375,unified,1.1,60000,8253.0,0.13755
22,0.15375,unified,2.1,37000,5896.0,0.15935135135135134
22,0.1543749999999999,unified,1.1,60000,8429.0,0.14048333333333332
22,0.1543749999999999,unified,2.1,37000,5984.0,0.16172972972972974
22,0.155,unified,1.1,60000,8638.0,0.14396666666666666
22,0.155,unified,2.1,37000,6123.0,0.16548648648648648
22,0.155625,unified,1.1,60000,8707.0,0.14511666666666667
22,0.155625,unified,2.1,37000,6117.0,0.1653243243243243
22,0.15625,unified,1.1,60000,8719.0,0.14531666666666668
